date,discharge,month,year,average_percentage,percentile,percentile_range
1987-11-01,14.324,11,1987,-0.833,0.179,Below normal
1987-12-01,128.824,12,1987,1.771,0.846,Above normal
1988-01-01,207.853,1,1988,6.033,0.927,High flow
1988-02-01,32.577,2,1988,-0.437,0.700,Normal range
1988-03-01,10.616,3,1988,-0.767,0.512,Normal range
1988-04-01,14.611,4,1988,-0.844,0.415,Normal range
1988-05-01,8.502,5,1988,-0.939,0.179,Below normal
1988-06-01,7.947,6,1988,-0.940,0.111,Low flow
1988-07-01,105.177,7,1988,-0.179,0.472,Normal range
1988-08-01,127.555,8,1988,0.057,0.632,Normal range
1988-09-01,53.800,9,1988,-0.613,0.150,Below normal
1988-10-01,31.220,10,1988,-0.615,0.256,Below normal
1988-11-01,7.674,11,1988,-0.910,0.077,Low flow
1988-12-01,3.091,12,1988,-0.934,0.051,Low flow
1989-01-01,1.882,1,1989,-0.936,0.049,Low flow
1989-02-01,1.205,2,1989,-0.979,0.025,Low flow
1989-03-01,1.936,3,1989,-0.957,0.073,Low flow
1989-04-01,2.581,4,1989,-0.973,0.024,Low flow
1989-05-01,2.040,5,1989,-0.985,0.026,Low flow
1989-06-01,1.229,6,1989,-0.991,0.028,Low flow
1989-07-01,2.026,7,1989,-0.984,0.028,Low flow
1989-08-01,13.761,8,1989,-0.886,0.053,Low flow
1989-09-01,9.839,9,1989,-0.929,0.025,Low flow
1989-10-01,3.138,10,1989,-0.961,0.026,Low flow
1989-11-01,117.063,11,1989,0.368,0.795,Above normal
1989-12-01,18.982,12,1989,-0.592,0.462,Normal range
1990-01-01,2.542,1,1990,-0.914,0.073,Low flow
1990-02-01,436.846,2,1990,6.549,0.975,High flow
1990-03-01,156.844,3,1990,2.445,0.927,High flow
1990-04-01,322.849,4,1990,2.440,0.902,High flow
1990-05-01,60.848,5,1990,-0.565,0.615,Normal range
1990-06-01,53.100,6,1990,-0.600,0.500,Normal range
1990-07-01,20.067,7,1990,-0.843,0.139,Below normal
1990-08-01,10.886,8,1990,-0.910,0.026,Low flow
1990-09-01,57.457,9,1990,-0.587,0.175,Below normal
1990-10-01,44.440,10,1990,-0.452,0.359,Normal range
1990-11-01,141.457,11,1990,0.653,0.846,Above normal
1990-12-01,117.213,12,1990,1.521,0.795,Above normal
1991-01-01,7.156,1,1991,-0.758,0.390,Normal range
1991-02-01,2.917,2,1991,-0.950,0.150,Below normal
1991-03-01,2.935,3,1991,-0.936,0.122,Low flow
1991-04-01,3.973,4,1991,-0.958,0.098,Low flow
1991-05-01,22.431,5,1991,-0.840,0.385,Normal range
1991-06-01,281.129,6,1991,1.118,0.806,Above normal
1991-07-01,287.828,7,1991,1.246,0.917,High flow
1991-08-01,85.115,8,1991,-0.295,0.421,Normal range
1991-09-01,100.201,9,1991,-0.280,0.450,Normal range
1991-10-01,117.801,10,1991,0.452,0.667,Normal range
1991-11-01,56.899,11,1991,-0.335,0.615,Normal range
1991-12-01,143.995,12,1991,2.097,0.897,High flow
1992-01-01,15.232,1,1992,-0.485,0.561,Normal range
1992-02-01,21.650,2,1992,-0.626,0.625,Normal range
1992-03-01,48.383,3,1992,0.063,0.780,Above normal
1992-04-01,70.766,4,1992,-0.246,0.683,Normal range
1992-05-01,285.063,5,1992,1.036,0.872,High flow
1992-06-01,375.000,6,1992,1.825,0.917,High flow
1992-07-01,133.718,7,1992,0.043,0.583,Normal range
1992-08-01,58.356,8,1992,-0.517,0.237,Below normal
1992-09-01,85.598,9,1992,-0.385,0.275,Below normal
1992-10-01,41.959,10,1992,-0.483,0.333,Normal range
1992-11-01,20.493,11,1992,-0.761,0.410,Normal range
1992-12-01,5.980,12,1992,-0.871,0.205,Below normal
1993-01-01,24.998,1,1993,-0.154,0.707,Normal range
1993-02-01,56.771,2,1993,-0.019,0.800,Above normal
1993-03-01,6.427,3,1993,-0.859,0.341,Normal range
1993-04-01,13.377,4,1993,-0.857,0.366,Normal range
1993-05-01,244.246,5,1993,0.745,0.846,Above normal
1993-06-01,110.219,6,1993,-0.170,0.639,Normal range
1993-07-01,70.395,7,1993,-0.451,0.361,Normal range
1993-08-01,116.197,8,1993,-0.038,0.553,Normal range
1993-09-01,147.561,9,1993,0.061,0.525,Normal range
1993-10-01,39.021,10,1993,-0.519,0.308,Normal range
1993-11-01,56.854,11,1993,-0.336,0.590,Normal range
1993-12-01,153.463,12,1993,2.301,0.923,High flow
1994-01-01,23.624,1,1994,-0.201,0.683,Normal range
1994-02-01,20.907,2,1994,-0.639,0.600,Normal range
1994-03-01,89.381,3,1994,0.963,0.829,Above normal
1994-04-01,24.955,4,1994,-0.734,0.537,Normal range
1994-05-01,64.725,5,1994,-0.538,0.641,Normal range
1994-06-01,50.244,6,1994,-0.621,0.417,Normal range
1994-07-01,132.445,7,1994,0.033,0.556,Normal range
1994-08-01,275.461,8,1994,1.282,0.921,High flow
1994-09-01,281.601,9,1994,1.024,0.875,High flow
1994-10-01,52.886,10,1994,-0.348,0.436,Normal range
1994-11-01,70.456,11,1994,-0.177,0.718,Normal range
1994-12-01,24.487,12,1994,-0.473,0.590,Normal range
1995-01-01,4.343,1,1995,-0.853,0.293,Normal range
1995-02-01,7.268,2,1995,-0.874,0.425,Normal range
1995-03-01,10.330,3,1995,-0.773,0.488,Normal range
1995-04-01,11.604,4,1995,-0.876,0.341,Normal range
1995-05-01,33.164,5,1995,-0.763,0.513,Normal range
1995-06-01,88.883,6,1995,-0.330,0.611,Normal range
1995-07-01,,7,1995,,,
1995-08-01,61.695,8,1995,-0.489,0.289,Normal range
1995-09-01,23.799,9,1995,-0.829,0.075,Low flow
1995-10-01,118.489,10,1995,0.461,0.692,Normal range
1995-11-01,62.733,11,1995,-0.267,0.667,Normal range
1995-12-01,7.774,12,1995,-0.833,0.333,Normal range
1996-01-01,3.424,1,1996,-0.884,0.122,Low flow
1996-02-01,2.867,2,1996,-0.950,0.125,Low flow
1996-03-01,2.911,3,1996,-0.936,0.098,Low flow
1996-04-01,119.672,4,1996,0.275,0.780,Above normal
1996-05-01,21.574,5,1996,-0.846,0.359,Normal range
1996-06-01,8.917,6,1996,-0.933,0.139,Below normal
1996-07-01,11.728,7,1996,-0.908,0.083,Low flow
1996-08-01,22.537,8,1996,-0.813,0.079,Low flow
1996-09-01,218.916,9,1996,0.574,0.725,Above normal
1996-10-01,38.120,10,1996,-0.530,0.282,Normal range
1996-11-01,38.798,11,1996,-0.547,0.513,Normal range
1996-12-01,11.087,12,1996,-0.762,0.410,Normal range
1997-01-01,3.697,1,1997,-0.875,0.146,Below normal
1997-02-01,4.320,2,1997,-0.925,0.250,Below normal
1997-03-01,1.887,3,1997,-0.959,0.049,Low flow
1997-04-01,3.076,4,1997,-0.967,0.049,Low flow
1997-05-01,5.392,5,1997,-0.961,0.103,Low flow
1997-06-01,44.215,6,1997,-0.667,0.361,Normal range
1997-07-01,15.639,7,1997,-0.878,0.111,Low flow
1997-08-01,162.847,8,1997,0.349,0.789,Above normal
1997-09-01,65.939,9,1997,-0.526,0.225,Below normal
1997-10-01,62.107,10,1997,-0.234,0.487,Normal range
1997-11-01,164.972,11,1997,0.927,0.897,High flow
1997-12-01,275.837,12,1997,4.933,0.974,High flow
1998-01-01,139.041,1,1998,3.705,0.878,High flow
1998-02-01,83.471,2,1998,0.443,0.850,Above normal
1998-03-01,59.623,3,1998,0.310,0.805,Above normal
1998-04-01,499.055,4,1998,4.317,0.927,High flow
1998-05-01,191.058,5,1998,0.365,0.795,Above normal
1998-06-01,285.216,6,1998,1.149,0.833,Above normal
1998-07-01,,7,1998,,,
1998-08-01,141.565,8,1998,0.173,0.737,Above normal
1998-09-01,88.985,9,1998,-0.360,0.300,Normal range
1998-10-01,,10,1998,,,
1998-11-01,17.710,11,1998,-0.793,0.308,Normal range
1998-12-01,21.987,12,1998,-0.527,0.564,Normal range
1999-01-01,22.050,1,1999,-0.254,0.659,Normal range
1999-02-01,,2,1999,,,
1999-03-01,15.539,3,1999,-0.659,0.610,Normal range
1999-04-01,67.655,4,1999,-0.279,0.659,Normal range
1999-05-01,12.568,5,1999,-0.910,0.282,Normal range
1999-06-01,232.292,6,1999,0.750,0.778,Above normal
1999-07-01,264.883,7,1999,1.067,0.889,High flow
1999-08-01,63.046,8,1999,-0.478,0.316,Normal range
1999-09-01,96.700,9,1999,-0.305,0.400,Normal range
1999-10-01,,10,1999,,,
1999-11-01,5.006,11,1999,-0.942,0.051,Low flow
1999-12-01,,12,1999,,,
2000-01-01,1.531,1,2000,-0.948,0.024,Low flow
2000-02-01,1.406,2,2000,-0.976,0.050,Low flow
2000-03-01,1.635,3,2000,-0.964,0.024,Low flow
2000-04-01,105.842,4,2000,0.128,0.756,Above normal
2000-05-01,478.897,5,2000,2.421,0.923,High flow
2000-06-01,,6,2000,,,
2000-07-01,222.761,7,2000,0.738,0.806,Above normal
2000-08-01,45.722,8,2000,-0.621,0.184,Below normal
2000-09-01,311.170,9,2000,1.237,0.900,High flow
2000-10-01,19.496,10,2000,-0.760,0.103,Low flow
2000-11-01,14.659,11,2000,-0.829,0.205,Below normal
2000-12-01,9.613,12,2000,-0.793,0.359,Normal range
2001-01-01,19.493,1,2001,-0.340,0.610,Normal range
2001-02-01,8.261,2,2001,-0.857,0.475,Normal range
2001-03-01,44.261,3,2001,-0.028,0.707,Normal range
2001-04-01,28.134,4,2001,-0.700,0.585,Normal range
2001-05-01,94.072,5,2001,-0.328,0.667,Normal range
2001-06-01,,6,2001,,,
2001-07-01,103.532,7,2001,-0.192,0.444,Normal range
2001-08-01,43.802,8,2001,-0.637,0.158,Below normal
2001-09-01,167.596,9,2001,0.205,0.550,Normal range
2001-10-01,272.864,10,2001,2.364,0.949,High flow
2001-11-01,,11,2001,,,
2001-12-01,28.985,12,2001,-0.377,0.615,Normal range
2002-01-01,25.265,1,2002,-0.145,0.732,Above normal
2002-02-01,52.413,2,2002,-0.094,0.775,Above normal
2002-03-01,321.067,3,2002,6.052,0.976,High flow
2002-04-01,549.569,4,2002,4.855,0.951,High flow
2002-05-01,,5,2002,,,
2002-06-01,,6,2002,,,
2002-07-01,,7,2002,,,
2002-08-01,246.350,8,2002,1.040,0.868,Above normal
2002-09-01,96.112,9,2002,-0.309,0.375,Normal range
2002-10-01,83.857,10,2002,0.034,0.538,Normal range
2002-11-01,20.299,11,2002,-0.763,0.385,Normal range
2002-12-01,136.334,12,2002,1.932,0.872,High flow
2003-01-01,35.871,1,2003,0.214,0.805,Above normal
2003-02-01,128.182,2,2003,1.215,0.900,High flow
2003-03-01,46.236,3,2003,0.016,0.732,Above normal
2003-04-01,16.938,4,2003,-0.820,0.463,Normal range
2003-05-01,514.167,5,2003,2.673,0.949,High flow
2003-06-01,162.566,6,2003,0.225,0.722,Above normal
2003-07-01,63.329,7,2003,-0.506,0.306,Normal range
2003-08-01,121.952,8,2003,0.010,0.579,Normal range
2003-09-01,332.762,9,2003,1.392,0.950,High flow
2003-10-01,46.178,10,2003,-0.431,0.385,Normal range
2003-11-01,98.531,11,2003,0.151,0.769,Above normal
2003-12-01,21.060,12,2003,-0.547,0.538,Normal range
2004-01-01,17.606,1,2004,-0.404,0.585,Normal range
2004-02-01,4.942,2,2004,-0.915,0.300,Normal range
2004-03-01,3.729,3,2004,-0.918,0.195,Below normal
2004-04-01,18.967,4,2004,-0.798,0.488,Normal range
2004-05-01,132.949,5,2004,-0.050,0.744,Above normal
2004-06-01,,6,2004,,,
2004-07-01,,7,2004,,,
2004-08-01,,8,2004,,,
2004-09-01,,9,2004,,,
2004-10-01,,10,2004,,,
2004-11-01,,11,2004,,,
2004-12-01,,12,2004,,,
2005-01-01,3.911,1,2005,-0.868,0.171,Below normal
2005-02-01,2.245,2,2005,-0.961,0.075,Low flow
2005-03-01,3.305,3,2005,-0.927,0.171,Below normal
2005-04-01,318.814,4,2005,2.397,0.878,High flow
2005-05-01,439.868,5,2005,2.142,0.897,High flow
2005-06-01,501.571,6,2005,2.779,0.972,High flow
2005-07-01,35.481,7,2005,-0.723,0.250,Below normal
2005-08-01,23.452,8,2005,-0.806,0.105,Low flow
2005-09-01,178.165,9,2005,0.281,0.625,Normal range
2005-10-01,128.403,10,2005,0.583,0.769,Above normal
2005-11-01,15.896,11,2005,-0.814,0.231,Below normal
2005-12-01,6.444,12,2005,-0.861,0.256,Below normal
2006-01-01,27.923,1,2006,-0.055,0.756,Above normal
2006-02-01,7.401,2,2006,-0.872,0.450,Normal range
2006-03-01,,3,2006,,,
2006-04-01,,4,2006,,,
2006-05-01,,5,2006,,,
2006-06-01,,6,2006,,,
2006-07-01,,7,2006,,,
2006-08-01,,8,2006,,,
2006-09-01,41.646,9,2006,-0.701,0.125,Low flow
2006-10-01,11.374,10,2006,-0.860,0.077,Low flow
2006-11-01,11.774,11,2006,-0.862,0.128,Low flow
2006-12-01,9.938,12,2006,-0.786,0.385,Normal range
2007-01-01,6.963,1,2007,-0.764,0.366,Normal range
2007-02-01,6.495,2,2007,-0.888,0.400,Normal range
2007-03-01,46.399,3,2007,0.019,0.756,Above normal
2007-04-01,219.236,4,2007,1.336,0.854,Above normal
2007-05-01,671.701,5,2007,3.798,0.974,High flow
2007-06-01,84.852,6,2007,-0.361,0.583,Normal range
2007-07-01,33.634,7,2007,-0.738,0.194,Below normal
2007-08-01,123.073,8,2007,0.019,0.605,Normal range
2007-09-01,99.008,9,2007,-0.288,0.425,Normal range
2007-10-01,239.775,10,2007,1.956,0.923,High flow
2007-11-01,22.104,11,2007,-0.742,0.436,Normal range
2007-12-01,12.346,12,2007,-0.734,0.436,Normal range
2008-01-01,12.940,1,2008,-0.562,0.537,Normal range
2008-02-01,6.017,2,2008,-0.896,0.350,Normal range
2008-03-01,103.466,3,2008,1.272,0.878,High flow
2008-04-01,5.298,4,2008,-0.944,0.171,Below normal
2008-05-01,26.539,5,2008,-0.810,0.436,Normal range
2008-06-01,50.608,6,2008,-0.619,0.444,Normal range
2008-07-01,60.380,7,2008,-0.529,0.278,Below normal
2008-08-01,67.130,8,2008,-0.444,0.342,Normal range
2008-09-01,90.897,9,2008,-0.347,0.325,Normal range
2008-10-01,10.893,10,2008,-0.866,0.051,Low flow
2008-11-01,4.063,11,2008,-0.953,0.026,Low flow
2008-12-01,5.962,12,2008,-0.872,0.179,Below normal
2009-01-01,8.120,1,2009,-0.725,0.488,Normal range
2009-02-01,16.286,2,2009,-0.719,0.575,Normal range
2009-03-01,92.742,3,2009,1.037,0.854,Above normal
2009-04-01,7.489,4,2009,-0.920,0.195,Below normal
2009-05-01,5.273,5,2009,-0.962,0.077,Low flow
2009-06-01,11.325,6,2009,-0.915,0.167,Below normal
2009-07-01,65.905,7,2009,-0.486,0.333,Normal range
2009-08-01,105.977,8,2009,-0.122,0.526,Normal range
2009-09-01,78.266,9,2009,-0.437,0.250,Below normal
2009-10-01,125.504,10,2009,0.547,0.744,Above normal
2009-11-01,421.221,11,2009,3.921,0.949,High flow
2009-12-01,62.199,12,2009,0.338,0.744,Above normal
2010-01-01,21.559,1,2010,-0.271,0.634,Normal range
2010-02-01,382.575,2,2010,5.612,0.950,High flow
2010-03-01,44.148,3,2010,-0.030,0.683,Normal range
2010-04-01,16.001,4,2010,-0.830,0.439,Normal range
2010-05-01,10.809,5,2010,-0.923,0.231,Below normal
2010-06-01,45.536,6,2010,-0.657,0.389,Normal range
2010-07-01,181.862,7,2010,0.419,0.722,Above normal
2010-08-01,95.349,8,2010,-0.210,0.447,Normal range
2010-09-01,222.632,9,2010,0.600,0.750,Above normal
2010-10-01,22.986,10,2010,-0.717,0.154,Below normal
2010-11-01,10.619,11,2010,-0.876,0.103,Low flow
2010-12-01,5.317,12,2010,-0.886,0.128,Low flow
2011-01-01,4.158,1,2011,-0.859,0.195,Below normal
2011-02-01,4.311,2,2011,-0.925,0.225,Below normal
2011-03-01,,3,2011,,,
2011-04-01,7.834,4,2011,-0.917,0.220,Below normal
2011-05-01,32.658,5,2011,-0.767,0.487,Normal range
2011-06-01,,6,2011,,,
2011-07-01,,7,2011,,,
2011-08-01,,8,2011,,,
2011-09-01,,9,2011,,,
2011-10-01,,10,2011,,,
2011-11-01,,11,2011,,,
2011-12-01,,12,2011,,,
2012-01-01,,1,2012,,,
2012-02-01,6.018,2,2012,-0.896,0.375,Normal range
2012-03-01,7.812,3,2012,-0.828,0.439,Normal range
2012-04-01,9.405,4,2012,-0.900,0.268,Below normal
2012-05-01,5.535,5,2012,-0.960,0.128,Low flow
2012-06-01,37.416,6,2012,-0.718,0.278,Below normal
2012-07-01,162.422,7,2012,0.267,0.667,Normal range
2012-08-01,138.011,8,2012,0.143,0.711,Normal range
2012-09-01,35.440,9,2012,-0.745,0.100,Low flow
2012-10-01,166.178,10,2012,1.049,0.795,Above normal
2012-11-01,17.344,11,2012,-0.797,0.282,Normal range
2012-12-01,29.465,12,2012,-0.366,0.641,Normal range
2013-01-01,11.678,1,2013,-0.605,0.512,Normal range
2013-02-01,28.226,2,2013,-0.512,0.675,Normal range
2013-03-01,11.526,3,2013,-0.747,0.561,Normal range
2013-04-01,62.667,4,2013,-0.332,0.634,Normal range
2013-05-01,126.601,5,2013,-0.096,0.692,Normal range
2013-06-01,54.428,6,2013,-0.590,0.528,Normal range
2013-07-01,150.306,7,2013,0.173,0.639,Normal range
2013-08-01,104.630,8,2013,-0.133,0.474,Normal range
2013-09-01,375.215,9,2013,1.697,0.975,High flow
2013-10-01,26.083,10,2013,-0.678,0.179,Below normal
2013-11-01,68.013,11,2013,-0.205,0.692,Normal range
2013-12-01,,12,2013,,,
2014-01-01,,1,2014,,,
2014-02-01,,2,2014,,,
2014-03-01,,3,2014,,,
2014-04-01,,4,2014,,,
2014-05-01,,5,2014,,,
2014-06-01,,6,2014,,,
2014-07-01,,7,2014,,,
2014-08-01,30.065,8,2014,-0.751,0.132,Below normal
2014-09-01,275.455,9,2014,0.980,0.850,Above normal
2014-10-01,168.814,10,2014,1.081,0.821,Above normal
2014-11-01,149.383,11,2014,0.745,0.872,High flow
2014-12-01,250.023,12,2014,4.378,0.949,High flow
2015-01-01,68.526,1,2015,1.319,0.854,Above normal
2015-02-01,10.451,2,2015,-0.819,0.525,Normal range
2015-03-01,5.275,3,2015,-0.884,0.317,Normal range
2015-04-01,3.904,4,2015,-0.958,0.073,Low flow
2015-05-01,4.845,5,2015,-0.965,0.051,Low flow
2015-06-01,4.332,6,2015,-0.967,0.056,Low flow
2015-07-01,4.492,7,2015,-0.965,0.056,Low flow
2015-08-01,381.798,8,2015,2.162,0.947,High flow
2015-09-01,120.881,9,2015,-0.131,0.475,Normal range
2015-10-01,176.157,10,2015,1.172,0.872,High flow
2015-11-01,18.198,11,2015,-0.787,0.333,Normal range
2015-12-01,20.699,12,2015,-0.555,0.513,Normal range
2016-01-01,29.485,1,2016,-0.002,0.780,Above normal
2016-02-01,4.223,2,2016,-0.927,0.200,Below normal
2016-03-01,4.017,3,2016,-0.912,0.244,Below normal
2016-04-01,708.213,4,2016,6.546,0.976,High flow
2016-05-01,50.591,5,2016,-0.639,0.590,Normal range
2016-06-01,77.272,6,2016,-0.418,0.556,Normal range
2016-07-01,174.443,7,2016,0.361,0.694,Normal range
2016-08-01,80.384,8,2016,-0.334,0.395,Normal range
2016-09-01,204.194,9,2016,0.468,0.700,Normal range
2016-10-01,29.262,10,2016,-0.639,0.231,Below normal
2016-11-01,55.186,11,2016,-0.355,0.564,Normal range
2016-12-01,70.268,12,2016,0.511,0.769,Above normal
2017-01-01,41.334,1,2017,0.399,0.829,Above normal
2017-02-01,110.702,2,2017,0.913,0.875,High flow
2017-03-01,35.834,3,2017,-0.213,0.659,Normal range
2017-04-01,13.737,4,2017,-0.854,0.390,Normal range
2017-05-01,,5,2017,,,
2017-06-01,,6,2017,,,
2017-07-01,23.846,7,2017,-0.814,0.167,Below normal
2017-08-01,,8,2017,,,
2017-09-01,,9,2017,,,
2017-10-01,102.478,10,2017,0.263,0.590,Normal range
2017-11-01,,11,2017,,,
2017-12-01,5.455,12,2017,-0.883,0.154,Below normal
2018-01-01,,1,2018,,,
2018-02-01,,2,2018,,,
2018-03-01,2.984,3,2018,-0.934,0.146,Below normal
2018-04-01,4.747,4,2018,-0.949,0.146,Below normal
2018-05-01,9.626,5,2018,-0.931,0.205,Below normal
2018-06-01,25.472,6,2018,-0.808,0.250,Below normal
2018-07-01,210.646,7,2018,0.644,0.778,Above normal
2018-08-01,58.622,8,2018,-0.514,0.263,Below normal
2018-09-01,128.364,9,2018,-0.077,0.500,Normal range
2018-10-01,116.018,10,2018,0.430,0.641,Normal range
2018-11-01,17.192,11,2018,-0.799,0.256,Below normal
2018-12-01,33.561,12,2018,-0.278,0.667,Normal range
2019-01-01,170.738,1,2019,4.777,0.902,High flow
2019-02-01,26.115,2,2019,-0.549,0.650,Normal range
2019-03-01,10.825,3,2019,-0.762,0.537,Normal range
2019-04-01,4.400,4,2019,-0.953,0.122,Low flow
2019-05-01,23.173,5,2019,-0.834,0.410,Normal range
2019-06-01,319.759,6,2019,1.409,0.889,High flow
2019-07-01,122.172,7,2019,-0.047,0.528,Normal range
2019-08-01,131.852,8,2019,0.092,0.684,Normal range
2019-09-01,182.077,9,2019,0.309,0.650,Normal range
2019-10-01,347.294,10,2019,3.281,0.974,High flow
2019-11-01,86.760,11,2019,0.014,0.744,Above normal
2019-12-01,,12,2019,,,
2020-01-01,,1,2020,,,
2020-02-01,,2,2020,,,
2020-03-01,,3,2020,,,
2020-04-01,,4,2020,,,
2020-05-01,,5,2020,,,
2020-06-01,,6,2020,,,
2020-07-01,,7,2020,,,
2020-08-01,,8,2020,,,
2020-09-01,,9,2020,,,
2020-10-01,,10,2020,,,
2020-11-01,,11,2020,,,
2020-12-01,2.206,12,2020,-0.953,0.026,Low flow
2021-01-01,4.266,1,2021,-0.856,0.268,Below normal
2021-02-01,81.334,2,2021,0.406,0.825,Above normal
2021-03-01,8.853,3,2021,-0.806,0.463,Normal range
2021-04-01,167.975,4,2021,0.790,0.805,Above normal
2021-05-01,26.766,5,2021,-0.809,0.462,Normal range
2021-06-01,124.842,6,2021,-0.059,0.667,Normal range
2021-07-01,,7,2021,,,
2021-08-01,,8,2021,,,
2021-09-01,274.307,9,2021,0.972,0.825,Above normal
