Fecha,Q
15/05/1980,33.051
16/05/1980,31.87
17/05/1980,30.068
18/05/1980,31.249
19/05/1980,33.051
20/05/1980,29.95
21/05/1980,32.557
22/05/1980,48.03
23/05/1980,45.312
24/05/1980,36.559
25/05/1980,31.045
26/05/1980,25.889
27/05/1980,23.168
28/05/1980,20.664
29/05/1980,17.947
30/05/1980,17.649
31/05/1980,18.746
01/06/1980,60.794
02/06/1980,77.981
03/06/1980,73.453
04/06/1980,76.301
05/06/1980,79.627
06/06/1980,74.149
07/06/1980,61.667
08/06/1980,51.703
09/06/1980,37.826
10/06/1980,27.691
11/06/1980,27.517
12/06/1980,49.837
13/06/1980,169.058
14/06/1980,322.867
15/06/1980,654.848
16/06/1980,676.923
17/06/1980,585.373
18/06/1980,545.152
19/06/1980,522.37
20/06/1980,514.971
21/06/1980,498.485
22/06/1980,481.735
23/06/1980,427.282
24/06/1980,388.845
25/06/1980,358.415
26/06/1980,338.257
27/06/1980,284.124
28/06/1980,225.142
29/06/1980,240.393
30/06/1980,282.938
01/07/1980,289.971
02/07/1980,325.354
03/07/1980,340.491
04/07/1980,395.194
05/07/1980,398.74
06/07/1980,349.884
07/07/1980,321.29
08/07/1980,308.969
09/07/1980,269.79
10/07/1980,231.129
11/07/1980,197.235
12/07/1980,171.869
13/07/1980,147.493
14/07/1980,127.459
15/07/1980,108.266
16/07/1980,91.224
17/07/1980,78.585
18/07/1980,66.755
19/07/1980,60.261
20/07/1980,56.665
21/07/1980,55.071
22/07/1980,55.623
23/07/1980,58.555
24/07/1980,71.251
25/07/1980,80.362
26/07/1980,84.082
27/07/1980,92.343
28/07/1980,99.283
29/07/1980,103.014
30/07/1980,97.31
31/07/1980,85.52
01/08/1980,76.825
02/08/1980,64.752
03/08/1980,58.953
04/08/1980,59.108
05/08/1980,108.502
06/08/1980,233.445
07/08/1980,326.569
08/08/1980,419.784
09/08/1980,560.709
10/08/1980,546.943
11/08/1980,495.317
12/08/1980,428.59
13/08/1980,407.53
14/08/1980,397.256
15/08/1980,373.34
16/08/1980,330.544
17/08/1980,261.984
18/08/1980,159.577
19/08/1980,87.441
20/08/1980,62.065
21/08/1980,53.492
22/08/1980,50.383
23/08/1980,46.913
24/08/1980,43.169
25/08/1980,39.602
26/08/1980,36.236
27/08/1980,33.064
28/08/1980,30.082
29/08/1980,27.103
30/08/1980,22.401
31/08/1980,20.082
01/09/1980,19.915
02/09/1980,19.915
03/09/1980,19.76
04/09/1980,17.947
05/09/1980,17.793
06/09/1980,17.793
07/09/1980,17.793
08/09/1980,16.604
09/09/1980,15.825
10/09/1980,15.825
11/09/1980,15.825
12/09/1980,15.825
13/09/1980,15.825
14/09/1980,15.825
15/09/1980,15.825
16/09/1980,15.825
17/09/1980,15.825
18/09/1980,15.825
19/09/1980,15.825
20/09/1980,15.825
21/09/1980,15.825
22/09/1980,15.693
23/09/1980,14.14
24/09/1980,13.885
25/09/1980,12.454
26/09/1980,12.22
27/09/1980,10.908
28/09/1980,10.796
29/09/1980,10.693
30/09/1980,9.493
01/10/1980,12.899
02/10/1980,122.928
03/10/1980,430.1
04/10/1980,604.943
05/10/1980,690.411
06/10/1980,831.618
07/10/1980,773.08
08/10/1980,772.255
09/10/1980,791.946
10/10/1980,767.581
11/10/1980,729.019
12/10/1980,691.843
13/10/1980,641.082
14/10/1980,591.246
15/10/1980,541.229
16/10/1980,496.117
17/10/1980,432.58
18/10/1980,379.837
19/10/1980,243.536
20/10/1980,119.509
21/10/1980,69.239
22/10/1980,57.608
23/10/1980,53.01
24/10/1980,52.212
25/10/1980,52.336
26/10/1980,53.788
27/10/1980,53.912
28/10/1980,53.912
29/10/1980,53.912
30/10/1980,53.665
31/10/1980,50.647
01/11/1980,48.967
02/11/1980,48.844
03/11/1980,48.844
04/11/1980,48.967
05/11/1980,52.573
06/11/1980,55.624
07/11/1980,57.22
08/11/1980,57.472
09/11/1980,58.951
10/11/1980,58.701
11/11/1980,53.23
12/11/1980,43.375
13/11/1980,35.212
14/11/1980,32.833
15/11/1980,29.178
16/11/1980,26.899
17/11/1980,22.401
18/11/1980,19.927
19/11/1980,17.804
20/11/1980,15.969
21/11/1980,15.106
22/11/1980,14.14
23/11/1980,16.336
24/11/1980,26.2
25/11/1980,46.221
26/11/1980,53.366
27/11/1980,58.423
28/11/1980,69.309
29/11/1980,77.087
30/11/1980,85.52
01/12/1980,99.389
02/12/1980,115.316
03/12/1980,122.004
04/12/1980,120.09
05/12/1980,107.912
06/12/1980,92.405
07/12/1980,85.33
08/12/1980,83.606
09/12/1980,81.226
10/12/1980,75.586
11/12/1980,66.941
12/12/1980,55.208
13/12/1980,42.722
14/12/1980,26.951
15/12/1980,21.473
16/12/1980,19.915
17/12/1980,20.655
18/12/1980,42.11
19/12/1980,139.655
20/12/1980,241.003
21/12/1980,381.001
22/12/1980,511.183
23/12/1980,538.425
24/12/1980,514.172
25/12/1980,470.613
26/12/1980,493.437
27/12/1980,493.437
28/12/1980,452.911
29/12/1980,410.565
30/12/1980,322.686
31/12/1980,194.469
01/01/1981,77.372
02/01/1981,41.116
03/01/1981,27.321
04/01/1981,22.568
05/01/1981,22.032
06/01/1981,19.927
07/01/1981,17.947
08/01/1981,18.633
09/01/1981,21.294
10/01/1981,24.346
11/01/1981,22.568
12/01/1981,22.032
13/01/1981,19.927
14/01/1981,17.036
15/01/1981,14.017
16/01/1981,12.454
17/01/1981,12.22
18/01/1981,10.908
19/01/1981,11.526
20/01/1981,19.184
21/01/1981,46.678
22/01/1981,69.12
23/01/1981,89.106
24/01/1981,122.03
25/01/1981,144.425
26/01/1981,148.919
27/01/1981,153.303
28/01/1981,146.358
29/01/1981,128.917
30/01/1981,89.805
31/01/1981,71.521
01/02/1981,57.63
02/02/1981,48.461
03/02/1981,38.089
04/02/1981,39.942
05/02/1981,52.74
06/02/1981,69.101
07/02/1981,95.935
08/02/1981,133.693
09/02/1981,161.93
10/02/1981,178.354
11/02/1981,189.631
12/02/1981,185.089
13/02/1981,154.944
14/02/1981,105.132
15/02/1981,95.75
16/02/1981,127.604
17/02/1981,166.252
18/02/1981,210.902
19/02/1981,256.078
20/02/1981,324.582
21/02/1981,357.682
22/02/1981,371.2
23/02/1981,381.792
24/02/1981,387.825
25/02/1981,387.825
26/02/1981,382.451
27/02/1981,346.107
28/02/1981,262.812
01/03/1981,168.019
02/03/1981,80.736
03/03/1981,51.277
04/03/1981,40.123
05/03/1981,44.53
06/03/1981,54.868
07/03/1981,55.878
08/03/1981,57.345
09/03/1981,55.024
10/03/1981,45.215
11/03/1981,31.239
12/03/1981,25.262
13/03/1981,21.877
14/03/1981,17.97
15/03/1981,16.902
16/03/1981,19.927
17/03/1981,22.401
18/03/1981,28.007
19/03/1981,30.286
20/03/1981,32.616
21/03/1981,28.986
22/03/1981,23.192
23/03/1981,19.927
24/03/1981,17.804
25/03/1981,15.836
26/03/1981,14.017
27/03/1981,12.342
28/03/1981,10.908
29/03/1981,10.693
30/03/1981,9.596
31/03/1981,10.927
01/04/1981,13.651
02/04/1981,12.454
03/04/1981,11.724
04/04/1981,10.693
05/04/1981,9.4
06/04/1981,8.206
07/04/1981,8.112
08/04/1981,8.112
09/04/1981,8.028
10/04/1981,7.039
11/04/1981,7.039
12/04/1981,8.028
13/04/1981,8.833
14/04/1981,13.993
15/04/1981,18.656
16/04/1981,22.032
17/04/1981,21.14
18/04/1981,17.036
19/04/1981,13.365
20/04/1981,10.805
21/04/1981,9.4
22/04/1981,8.206
23/04/1981,8.112
24/04/1981,8.112
25/04/1981,8.206
26/04/1981,9.298
27/04/1981,10.97
28/04/1981,14.017
29/04/1981,17.888
30/04/1981,28.444
01/05/1981,44.706
02/05/1981,53.021
03/05/1981,60.695
04/05/1981,61.752
05/05/1981,59.319
06/05/1981,54.824
07/05/1981,48.811
08/05/1981,34.789
09/05/1981,27.677
10/05/1981,33.167
11/05/1981,42.632
12/05/1981,54.722
13/05/1981,69.507
14/05/1981,91.142
15/05/1981,145.228
16/05/1981,190.463
17/05/1981,232.26
18/05/1981,290.503
19/05/1981,368.643
20/05/1981,438.874
21/05/1981,470.353
22/05/1981,452.013
23/05/1981,441.003
24/05/1981,440.202
25/05/1981,446.183
26/05/1981,436.158
27/05/1981,383.354
28/05/1981,327.735
29/05/1981,247.135
30/05/1981,218.608
31/05/1981,214.382
01/06/1981,225.254
02/06/1981,304.899
03/06/1981,460.461
04/06/1981,446.183
05/06/1981,446.183
06/06/1981,497.184
07/06/1981,537.538
08/06/1981,520.595
09/06/1981,497.693
10/06/1981,449.306
11/06/1981,434.385
12/06/1981,391.396
13/06/1981,316.917
14/06/1981,217.293
15/06/1981,113.963
16/06/1981,64.892
17/06/1981,55.634
18/06/1981,49.965
19/06/1981,47.065
20/06/1981,45.172
21/06/1981,40.999
22/06/1981,41.534
23/06/1981,51.478
24/06/1981,67.165
25/06/1981,77.269
26/06/1981,108.785
27/06/1981,246.483
28/06/1981,384.79
29/06/1981,430.311
30/06/1981,443.813
01/07/1981,409.822
02/07/1981,398.036
03/07/1981,366.259
04/07/1981,308.688
05/07/1981,259.429
06/07/1981,234.239
07/07/1981,130.164
08/07/1981,73.069
09/07/1981,69.425
10/07/1981,56.824
11/07/1981,47.188
12/07/1981,38.792
13/07/1981,26.661
14/07/1981,50.041
15/07/1981,56.573
16/07/1981,79.565
17/07/1981,157.241
18/07/1981,258.748
19/07/1981,286.108
20/07/1981,264.08
21/07/1981,282.487
22/07/1981,304.67
23/07/1981,264.77
24/07/1981,244.001
25/07/1981,214.482
26/07/1981,186.054
27/07/1981,148.551
28/07/1981,95.913
29/07/1981,65.733
30/07/1981,59.445
31/07/1981,59.896
01/08/1981,80.553
02/08/1981,98.833
03/08/1981,108.184
04/08/1981,117.173
05/08/1981,121.304
06/08/1981,115.671
07/08/1981,305.491
08/08/1981,524.386
09/08/1981,557.589
10/08/1981,633.635
11/08/1981,629.3
12/08/1981,618.579
13/08/1981,611.91
14/08/1981,565.566
15/08/1981,497.184
16/08/1981,427.656
17/08/1981,333.18
18/08/1981,204.623
19/08/1981,98.634
20/08/1981,61.372
21/08/1981,51.31
22/08/1981,45.312
23/08/1981,38.284
24/08/1981,30.624
25/08/1981,22.568
26/08/1981,22.568
27/08/1981,26.899
28/08/1981,27.269
29/08/1981,27.269
30/08/1981,26.899
31/08/1981,22.938
01/09/1981,26.899
02/09/1981,27.691
03/09/1981,39.745
04/09/1981,55.558
05/09/1981,71.251
06/09/1981,81.668
07/09/1981,88.551
08/09/1981,96.716
09/09/1981,103.334
10/09/1981,98.433
11/09/1981,88.348
12/09/1981,131.346
13/09/1981,333.297
14/09/1981,351.523
15/09/1981,562.975
16/09/1981,667.744
17/09/1981,631.326
18/09/1981,598.188
19/09/1981,627.474
20/09/1981,662.282
21/09/1981,636.69
22/09/1981,583.376
23/09/1981,521.01
24/09/1981,451.589
25/09/1981,384.305
26/09/1981,260.004
27/09/1981,146.738
28/09/1981,84.535
29/09/1981,64.892
30/09/1981,55.993
01/10/1981,50.507
02/10/1981,45.435
03/10/1981,38.284
04/10/1981,30.624
05/10/1981,24.997
06/10/1981,39.745
07/10/1981,55.299
08/10/1981,65.487
09/10/1981,67.891
10/10/1981,67.632
11/10/1981,61.655
12/10/1981,55.865
13/10/1981,48.811
14/10/1981,40.123
15/10/1981,36.578
16/10/1981,27.499
17/10/1981,24.66
18/10/1981,22.056
19/10/1981,17.335
20/10/1981,15.825
21/10/1981,15.825
22/10/1981,15.693
23/10/1981,14.017
24/10/1981,12.454
25/10/1981,12.332
26/10/1981,12.332
27/10/1981,12.22
28/10/1981,10.908
29/10/1981,10.796
30/10/1981,10.796
31/10/1981,11.03
01/11/1981,13.773
02/11/1981,14.87
03/11/1981,21.103
04/11/1981,64.035
05/11/1981,126.632
06/11/1981,189.301
07/11/1981,260.646
08/11/1981,262.325
09/11/1981,262.325
10/11/1981,262.325
11/11/1981,255.102
12/11/1981,223.839
13/11/1981,184.193
14/11/1981,113.285
15/11/1981,75.737
16/11/1981,53.385
17/11/1981,33.271
18/11/1981,21.931
19/11/1981,17.804
20/11/1981,15.249
21/11/1981,13.885
22/11/1981,11.846
23/11/1981,10.796
24/11/1981,10.796
25/11/1981,10.796
26/11/1981,10.693
27/11/1981,8.987
28/11/1981,8.112
29/11/1981,8.112
30/11/1981,8.112
01/12/1981,8.112
02/12/1981,7.241
03/12/1981,5.911
04/12/1981,5.911
05/12/1981,5.911
06/12/1981,6.409
07/12/1981,8.028
08/12/1981,8.112
09/12/1981,8.112
10/12/1981,8.112
11/12/1981,8.112
12/12/1981,8.112
13/12/1981,8.112
14/12/1981,8.112
15/12/1981,8.308
16/12/1981,11.208
17/12/1981,9.783
18/12/1981,8.112
19/12/1981,8.112
20/12/1981,8.721
21/12/1981,10.693
22/12/1981,10.796
23/12/1981,12.663
24/12/1981,17.517
25/12/1981,17.793
26/12/1981,17.793
27/12/1981,17.793
28/12/1981,16.294
29/12/1981,14.007
30/12/1981,13.036
31/12/1981,8.42
01/01/1982,8.112
02/01/1982,9.174
03/01/1982,12.067
04/01/1982,14.007
05/01/1982,13.773
06/01/1982,11.03
07/01/1982,9.733
08/01/1982,8.112
09/01/1982,8.112
10/01/1982,8.112
11/01/1982,8.112
12/01/1982,8.112
13/01/1982,7.578
14/01/1982,5.557
15/01/1982,4.206
16/01/1982,4.146
17/01/1982,4.146
18/01/1982,4.146
19/01/1982,4.146
20/01/1982,3.651
21/01/1982,2.016
22/01/1982,1.93
23/01/1982,1.93
24/01/1982,1.93
25/01/1982,1.93
26/01/1982,1.93
27/01/1982,1.93
28/01/1982,1.93
29/01/1982,1.93
30/01/1982,1.93
31/01/1982,1.93
01/02/1982,2.936
02/02/1982,6.28
03/02/1982,9.468
04/02/1982,18.531
05/02/1982,45.22
06/02/1982,63.802
07/02/1982,89.526
08/02/1982,121.911
09/02/1982,142.283
10/02/1982,146.203
11/02/1982,113.048
12/02/1982,78.627
13/02/1982,74.55
14/02/1982,81.57
15/02/1982,97.19
16/02/1982,122.941
17/02/1982,155.344
18/02/1982,204.394
19/02/1982,219.348
20/02/1982,211.617
21/02/1982,216.547
22/02/1982,209.18
23/02/1982,184.052
24/02/1982,187.192
25/02/1982,210.739
26/02/1982,234.335
27/02/1982,246.276
28/02/1982,246.825
01/03/1982,242.778
02/03/1982,219.004
03/03/1982,162.921
04/03/1982,80.627
05/03/1982,40.642
06/03/1982,21.931
07/03/1982,17.036
08/03/1982,14.017
09/03/1982,11.846
10/03/1982,10.239
11/03/1982,8.885
12/03/1982,8.112
13/03/1982,8.112
14/03/1982,7.654
15/03/1982,6.954
16/03/1982,6.541
17/03/1982,5.911
18/03/1982,5.911
19/03/1982,5.911
20/03/1982,5.911
21/03/1982,5.911
22/03/1982,5.911
23/03/1982,5.911
24/03/1982,5.911
25/03/1982,5.911
26/03/1982,5.911
27/03/1982,5.843
28/03/1982,5.045
29/03/1982,4.977
30/03/1982,4.977
31/03/1982,4.977
01/04/1982,4.977
02/04/1982,4.977
03/04/1982,4.977
04/04/1982,4.977
05/04/1982,4.977
06/04/1982,5.045
07/04/1982,6.714
08/04/1982,8.112
09/04/1982,8.112
10/04/1982,8.112
11/04/1982,8.112
12/04/1982,7.241
13/04/1982,7.081
14/04/1982,6.004
15/04/1982,4.984
16/04/1982,4.206
17/04/1982,4.146
18/04/1982,4.146
19/04/1982,4.275
20/04/1982,5.859
21/04/1982,6.802
22/04/1982,5.987
23/04/1982,5.911
24/04/1982,5.843
25/04/1982,5.045
26/04/1982,4.977
27/04/1982,4.916
28/04/1982,4.206
29/04/1982,4.146
30/04/1982,4.206
01/05/1982,4.916
02/05/1982,4.977
03/05/1982,4.977
04/05/1982,4.977
05/05/1982,4.916
06/05/1982,4.206
07/05/1982,4.146
08/05/1982,4.146
09/05/1982,4.146
10/05/1982,4.543
11/05/1982,5.843
12/05/1982,5.911
13/05/1982,5.987
14/05/1982,9.646
15/05/1982,19.213
16/05/1982,27.154
17/05/1982,39.992
18/05/1982,57.368
19/05/1982,71.251
20/05/1982,86.752
21/05/1982,140.562
22/05/1982,216.383
23/05/1982,261.28
24/05/1982,286.832
25/05/1982,312.445
26/05/1982,329.676
27/05/1982,338.161
28/05/1982,322.631
29/05/1982,274.68
30/05/1982,194.864
31/05/1982,166.861
01/06/1982,65.714
